종가,52주최고,고점대비%,신고가갱신,OBV위치%,5일수익%,20일수익%,거래량배수,20일선위,60일선위,데이터일수,A_신고가임박,B_OBV신고가,C_연속양봉,티커,종목명,시총(억),거래대금(억)
21300.0,39950.0,-46.68,False,99.3,16.2,31.32,1.13,True,True,323,False,False,False,456010,아이씨티케이,3118.00525,138.95320175
209500.0,333000.0,-37.09,False,49.6,-13.79,-1.18,0.52,False,False,323,False,False,False,267250,HD현대,165885.4785,142.6809975
223000.0,388500.0,-42.6,False,87.5,3.48,-2.19,0.46,False,True,323,False,False,False,018260,삼성에스디에스,173326.272,144.305055
32400.0,83300.0,-61.1,False,62.5,-6.22,-15.07,0.77,False,False,323,False,False,False,178320,서진시스템,21060.6131145,137.240624
200500.0,296000.0,-32.26,False,74.2,-2.67,0.86,0.61,False,True,323,False,False,False,086280,현대글로비스,150750.0,137.0268335
28850.0,31200.0,-7.53,False,84.9,-2.7,10.96,0.25,False,True,323,True,False,False,003490,대한항공,106599.8663055,132.3328545
174000.0,192400.0,-9.56,False,90.7,1.16,0.46,0.46,True,False,323,True,False,False,033780,KT&G,180318.762072,132.3809695
99800.0,165700.0,-39.77,False,100.0,12.13,6.17,0.42,True,True,323,False,True,False,058610,에스피지,22221.71472,131.886543
109200.0,217000.0,-49.68,False,84.8,9.42,6.85,0.67,True,False,323,False,False,False,226950,올릭스,25093.844517,128.9543075
11280.0,23800.0,-52.61,False,97.1,33.49,40.3,1.59,True,True,323,False,False,False,042370,비츠로테크,2950.122815,128.45510075
12970.0,21400.0,-39.39,False,90.2,17.06,28.54,2.77,True,True,323,False,False,False,253590,네오셈,5681.056738,127.29406505
69300.0,153300.0,-54.79,False,53.0,-1.14,-4.15,0.6,False,False,323,False,False,False,064400,LG씨엔에스,67626.391704,126.0776275
16920.0,32339.0,-47.68,False,98.1,7.09,50.27,1.06,True,True,323,False,False,False,052710,아모텍,3179.47216,127.2639794
1392000.0,1987000.0,-29.94,False,47.5,-0.71,-11.51,0.41,False,False,323,False,False,False,207940,삼성바이오로직스,647610.40449,126.31714
41100.0,56100.0,-26.74,False,35.0,-9.47,-16.89,0.37,False,True,323,False,False,False,257720,실리콘투,26853.475194,121.3623475
